Data;IBOV;IDADI;IDAIPCA;IRFM;DOLAR;SELIC;IFIX;
nov/24;-4,28%;-0,10%;-2,24%;-1,66%;2,29%;0,79%;-0,67%;
dez/24;4,86%;1,58%;1,53%;2,58%;-5,85%;0,93%;-3,07%;
jan/25;-2,64%;1,29%;1,32%;0,61%;0,32%;1,01%;3,34%;
fev/25;6,08%;1,85%;2,04%;1,39%;-1,82%;0,99%;6,14%;
mar/25;3,69%;0,59%;2,52%;2,99%;-1,42%;0,96%;3,01%;
abr/25;1,45%;1,38%;1,35%;1,00%;0,85%;1,06%;1,44%;
mai/25;1,33%;1,19%;1,57%;1,78%;-4,41%;1,14%;0,63%;
jun/25;-4,17%;1,42%;-0,49%;0,29%;2,66%;1,10%;-1,36%;
jul/25;6,28%;1,10%;1,80%;1,66%;-3,14%;1,28%;1,16%;
ago/25;3,40%;1,19%;2,30%;1,26%;-1,99%;1,16%;3,25%;
set/25;0,82%;0,90%;-0,42%;1,22%;0,95%;1,22%;-0,14%;
